specialization,fees,avg_rate,waiting_time,clinic_location,rate_count
Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura,From 16 Visitors
Dermatologist,200 EGP,4.5,Waiting Time : 35 Minutes,El-Ibrahimia,From 68 Visitors
Orthopedist,250 EGP,4.5,Waiting Time : 31 Minutes,6th of October,From 29 Visitors
Gynecologist,150 EGP,,null,El-Haram,null
Dermatologist,200 EGP,5,Waiting Time : 20 Minutes,Nasr City,From 90 Visitors
Pediatrician,450 EGP,,null,El-Dokki,null
Pediatrician,450 EGP,,null,El-Dokki,null
Cardiologist,450 EGP,,null,El-Dokki,null
Gynecologist,350 EGP,4.5,Waiting Time : 12 Minutes,6th of October,From 27 Visitors
Pediatrician,400 EGP,,null,Yousef Abbas,null
General Surgeon,500 EGP,4.5,Waiting Time : 12 Minutes,El-Maadi : Zahraa El Maadi Road Carefour,From 115 Visitors
Urologist,400 EGP,5,Waiting Time : 5 Minutes,Nasr City,From 949 Visitors
Neurosurgeon,500 EGP,5,Waiting Time : 1 Hour and 30 Minutes,Nasr City,From 94 Visitors
Gynecologist,200 EGP,5,Waiting Time : 42 Minutes,Shoubra El-Kheima : 15th may,From 46 Visitors
General Surgeon,200 EGP,4.5,Waiting Time : 6 Minutes,Moharam Bek : moharam bek,From 44 Visitors
Gynecologist,500 EGP,5,Waiting Time : 15 Minutes,El-Mohandessin : el Sudan Street,From 43 Visitors
Urologist,450 EGP,,null,El-Dokki,null
Nephrologist,350 EGP,5,Waiting Time : 8 Minutes,Nasr City : Zaker Hussien Street-District 7,From 4 Visitors
Neurologist,450 EGP,,null,El-Dokki,null
Pediatrician,350 EGP,5,Waiting Time : 9 Minutes,Nasr City : Ibrahim Nawar parallel to Ahmed Fakhry - Sixth Region.,From 10 Visitors
Physiotherapist,150 EGP,4.5,Waiting Time : 10 Minutes,Shoubra El-Kheima,From 24 Visitors
ENT Doctor,170 EGP,5,Waiting Time : 14 Minutes,El-Zagazig : al kwmya street,From 332 Visitors
Ophthalmologist,200 EGP,5,Waiting Time : 43 Minutes,Shoubra,From 374 Visitors
